Code,Year,Name,Landfall Counts,Max Category Rating,Anomaly
AL021916,1916,UNNAMED,1,3,-0.26
AL031916,1916,UNNAMED,1,2,-0.26
AL041916,1916,UNNAMED,1,3,-0.26
AL051916,1916,UNNAMED,0,0,-0.26
AL061916,1916,UNNAMED,1,4,-0.26
AL071916,1916,UNNAMED,1,2,-0.26
AL081916,1916,UNNAMED,0,1,-0.26
AL091916,1916,UNNAMED,1,0,-0.26
AL101916,1916,UNNAMED,0,1,-0.26
AL111916,1916,UNNAMED,0,3,-0.26
AL121916,1916,UNNAMED,1,0,-0.26
AL131916,1916,UNNAMED,0,3,-0.26
AL141916,1916,UNNAMED,1,2,-0.26
AL151916,1916,UNNAMED,0,0,-0.26
AL011917,1917,UNNAMED,0,0,-0.32
AL021917,1917,UNNAMED,0,0,-0.32
AL031917,1917,UNNAMED,0,3,-0.32
AL041917,1917,UNNAMED,1,4,-0.32
AL011918,1918,UNNAMED,1,3,-0.17
AL021918,1918,UNNAMED,0,2,-0.17
AL031918,1918,UNNAMED,1,1,-0.17
AL041918,1918,UNNAMED,0,0,-0.17
AL051918,1918,UNNAMED,0,2,-0.17
AL061918,1918,UNNAMED,0,0,-0.17
AL011919,1919,UNNAMED,1,0,-0.2
AL031919,1919,UNNAMED,0,2,-0.2
AL021919,1919,UNNAMED,2,4,-0.2
AL041919,1919,UNNAMED,1,0,-0.2
AL051919,1919,UNNAMED,0,0,-0.2
AL011920,1920,UNNAMED,0,2,-0.21
AL021920,1920,UNNAMED,1,2,-0.21
AL031920,1920,UNNAMED,1,1,-0.21
AL041920,1920,UNNAMED,0,0,-0.21
AL051920,1920,UNNAMED,1,1,-0.21
AL011921,1921,UNNAMED,1,1,-0.19
AL021921,1921,UNNAMED,0,1,-0.19
AL031921,1921,UNNAMED,0,3,-0.19
AL041921,1921,UNNAMED,0,1,-0.19
AL051921,1921,UNNAMED,0,1,-0.19
AL061921,1921,UNNAMED,1,4,-0.19
AL071921,1921,UNNAMED,0,0,-0.19
AL011922,1922,UNNAMED,0,0,-0.24
AL021922,1922,UNNAMED,0,3,-0.24
AL031922,1922,UNNAMED,0,1,-0.24
AL041922,1922,UNNAMED,0,2,-0.24
AL051922,1922,UNNAMED,0,0,-0.24
AL011923,1923,UNNAMED,1,0,-0.24
AL021923,1923,UNNAMED,0,2,-0.24
AL031923,1923,UNNAMED,0,0,-0.24
AL041923,1923,UNNAMED,0,1,-0.24
AL051923,1923,UNNAMED,0,3,-0.24
AL061923,1923,UNNAMED,1,1,-0.24
AL071923,1923,UNNAMED,1,0,-0.24
AL081923,1923,UNNAMED,1,0,-0.24
AL091923,1923,UNNAMED,0,0,-0.24
AL011924,1924,UNNAMED,0,0,-0.24
AL021924,1924,UNNAMED,0,0,-0.24
AL031924,1924,UNNAMED,0,3,-0.24
